,trial,choice,reward,cumulative_reward,model_id,loglik
0,1,0,1,1,83811,-0.6931471805579453
1,2,1,0,1,83811,-0.9735707108035385
2,3,0,1,2,83811,-0.3136994986048514
3,4,1,1,3,83811,-1.6187209190482856
4,5,0,1,4,83811,-0.3714035673464234
5,6,0,1,5,83811,-0.2826824255958278
6,7,0,1,6,83811,-0.22548165644995863
7,8,1,0,6,83811,-1.766838862068233
8,9,0,1,7,83811,-0.11567815910608556
9,10,0,0,7,83811,-0.09902581670108067
10,11,0,1,8,83811,-0.22135712264763066
11,12,1,1,9,83811,-1.8674425586251329
12,13,1,0,9,83811,-1.3998612454323498
13,14,1,0,9,83811,-1.8244145221303534
14,15,0,1,10,83811,-0.11837341412934042
15,16,1,0,10,83811,-2.411652610849201
16,17,0,1,11,83811,-0.06771752305601439
17,18,1,0,11,83811,-2.909346832548338
18,19,0,1,12,83811,-0.04296010477104216
19,20,0,1,13,83811,-0.03686743594845186
20,21,0,1,14,83811,-0.03260974650355718
21,22,0,1,15,83811,-0.029554011118415126
22,23,0,1,16,83811,-0.027313214916046154
23,24,0,1,17,83811,-0.0256413078829346
24,25,0,1,18,83811,-0.02437637429093036
25,26,0,1,19,83811,-0.023408595112916566
26,27,0,1,20,83811,-0.022661497837130735
27,28,0,1,21,83811,-0.02208060212991987
28,29,1,0,21,83811,-3.8446375574973803
29,30,0,1,22,83811,-0.01742358098097459
30,31,0,1,23,83811,-0.017135448220285378
31,32,0,1,24,83811,-0.016908255777968752
32,33,0,1,25,83811,-0.016728581804029263
33,34,0,1,26,83811,-0.016586149248375023
34,35,0,1,27,83811,-0.016473023843035128
35,36,0,1,28,83811,-0.016383038274986456
36,37,0,1,29,83811,-0.016311371915695608
37,38,0,1,30,83811,-0.01625423959559776
38,39,0,1,31,83811,-0.01620865818285709
39,40,0,1,32,83811,-0.016172269582096277
40,41,0,1,33,83811,-0.01614320524941351
41,42,0,1,34,83811,-0.016119981658349217
42,43,0,1,35,83811,-0.016101419106785662
43,44,0,1,36,83811,-0.016086578302364762
44,45,0,1,37,83811,-0.016074710606008097
45,46,0,1,38,83811,-0.016065218844593776
46,47,0,1,39,83811,-0.016057626352525427
47,48,1,0,39,83811,-4.139964748661705
48,49,0,1,40,83811,-0.01349688582093481
49,50,0,1,41,83811,-0.01349279455952929
50,51,1,1,42,83811,-4.312579287722868
51,52,0,1,43,83811,-0.03154658489339782
52,53,0,0,43,83811,-0.0315405143339364
53,54,1,1,44,83811,-2.5258271304986666
54,55,1,1,45,83811,-1.9147268047620885
55,56,1,1,46,83811,-1.4673755331355969
56,57,1,1,47,83811,-1.1472027890792953
57,58,1,1,48,83811,-0.9207668662156918
58,59,1,1,49,83811,-0.7607858575057261
59,60,1,1,50,83811,-0.6469464794318953
60,61,1,1,51,83811,-0.5649767565928214
61,62,1,1,52,83811,-0.5051406599583634
62,63,1,1,53,83811,-0.4608579685661406
63,64,0,0,53,83811,-1.055636936724891
64,65,1,1,54,83811,-0.21515921899609688
65,66,1,1,55,83811,-0.2012392578769844
66,67,1,1,56,83811,-0.19069001421483484
67,68,1,1,57,83811,-0.18261150135213616
68,69,1,1,58,83811,-0.17637211539191688
69,70,1,1,59,83811,-0.17151966617650366
70,71,1,1,60,83811,-0.16772461904027025
71,72,1,1,61,83811,-0.16474307116105072
72,73,1,1,62,83811,-0.16239206898399483
73,74,1,1,63,83811,-0.1605328046465907
74,75,1,1,64,83811,-0.159058946835716
75,76,1,1,65,83811,-0.15788838532118785
76,77,1,1,66,83811,-0.15695728966412037
77,78,1,1,67,83811,-0.15621576632413622
78,79,1,1,68,83811,-0.15562463957868233
79,80,1,1,69,83811,-0.15515303588806817
80,81,1,1,70,83811,-0.15477655162867993
81,82,1,1,71,83811,-0.15447585042980067
82,83,1,1,72,83811,-0.15423558092577805
83,84,1,1,73,83811,-0.1540435361924421
