,trial,choice,reward,cumulative_reward,model_id
0,1,0,1,1,83811
1,2,1,0,1,83811
2,3,0,1,2,83811
3,4,1,1,3,83811
4,5,0,1,4,83811
5,6,0,1,5,83811
6,7,0,1,6,83811
7,8,1,0,6,83811
8,9,0,1,7,83811
9,10,0,0,7,83811
10,11,0,1,8,83811
11,12,1,1,9,83811
12,13,0,1,10,83811
13,14,1,0,10,83811
14,15,0,1,11,83811
15,16,1,0,11,83811
16,17,0,1,12,83811
17,18,1,0,12,83811
18,19,0,1,13,83811
19,20,0,1,14,83811
20,21,0,1,15,83811
21,22,0,1,16,83811
22,23,0,1,17,83811
23,24,0,1,18,83811
24,25,0,1,19,83811
25,26,0,1,20,83811
26,27,0,1,21,83811
27,28,0,1,22,83811
28,29,1,0,22,83811
29,30,0,1,23,83811
30,31,0,1,24,83811
31,32,0,1,25,83811
32,33,0,1,26,83811
33,34,0,1,27,83811
34,35,0,1,28,83811
35,36,0,1,29,83811
36,37,0,1,30,83811
37,38,0,1,31,83811
38,39,0,1,32,83811
39,40,0,1,33,83811
40,41,0,1,34,83811
41,42,0,1,35,83811
42,43,0,1,36,83811
43,44,0,1,37,83811
44,45,0,1,38,83811
45,46,0,1,39,83811
46,47,0,1,40,83811
47,48,0,1,41,83811
48,49,0,1,42,83811
49,50,0,1,43,83811
50,51,1,1,44,83811
51,52,0,1,45,83811
52,53,0,0,45,83811
53,54,0,0,45,83811
54,55,1,1,46,83811
55,56,0,0,46,83811
56,57,1,1,47,83811
57,58,1,1,48,83811
58,59,0,0,48,83811
59,60,1,1,49,83811
60,61,1,1,50,83811
61,62,1,1,51,83811
62,63,1,1,52,83811
63,64,0,0,52,83811
64,65,1,1,53,83811
65,66,1,1,54,83811
66,67,1,1,55,83811
67,68,1,1,56,83811
68,69,1,1,57,83811
69,70,1,1,58,83811
70,71,1,1,59,83811
71,72,1,1,60,83811
72,73,1,1,61,83811
73,74,1,1,62,83811
74,75,1,1,63,83811
75,76,1,1,64,83811
76,77,1,1,65,83811
77,78,1,1,66,83811
78,79,1,1,67,83811
79,80,1,1,68,83811
80,81,1,1,69,83811
81,82,1,1,70,83811
82,83,1,1,71,83811
83,84,1,1,72,83811
84,85,1,1,73,83811
85,86,1,1,74,83811
86,87,0,0,74,83811
87,88,1,1,75,83811
88,89,1,0,75,83811
89,90,1,1,76,83811
90,91,1,1,77,83811
91,92,1,1,78,83811
92,93,1,1,79,83811
93,94,1,1,80,83811
94,95,1,1,81,83811
95,96,1,1,82,83811
96,97,1,1,83,83811
97,98,1,1,84,83811
98,99,1,1,85,83811
99,100,1,1,86,83811
100,1,0,1,1,14593
101,2,0,1,2,14593
102,3,0,1,3,14593
103,4,0,0,3,14593
104,5,1,1,4,14593
105,6,0,1,5,14593
106,7,0,1,6,14593
107,8,0,1,7,14593
108,9,0,1,8,14593
109,10,0,0,8,14593
110,11,1,1,9,14593
111,12,1,1,10,14593
112,13,0,1,11,14593
113,14,1,0,11,14593
114,15,0,1,12,14593
115,16,0,1,13,14593
116,17,0,1,14,14593
117,18,0,1,15,14593
118,19,0,1,16,14593
119,20,1,0,16,14593
120,21,0,1,17,14593
121,22,0,1,18,14593
122,23,0,1,19,14593
123,24,0,1,20,14593
124,25,0,1,21,14593
125,26,0,1,22,14593
126,27,0,1,23,14593
127,28,1,0,23,14593
128,29,0,1,24,14593
129,30,0,1,25,14593
130,31,0,1,26,14593
131,32,0,1,27,14593
132,33,0,1,28,14593
133,34,0,1,29,14593
134,35,0,1,30,14593
135,36,0,1,31,14593
136,37,0,1,32,14593
137,38,0,1,33,14593
138,39,0,1,34,14593
139,40,0,1,35,14593
140,41,0,1,36,14593
141,42,0,1,37,14593
142,43,0,1,38,14593
143,44,0,1,39,14593
144,45,0,1,40,14593
145,46,0,1,41,14593
146,47,0,1,42,14593
147,48,0,1,43,14593
148,49,0,1,44,14593
149,50,0,1,45,14593
150,51,1,1,46,14593
151,52,0,1,47,14593
152,53,0,0,47,14593
153,54,0,0,47,14593
154,55,0,0,47,14593
155,56,1,1,48,14593
156,57,1,1,49,14593
157,58,0,0,49,14593
158,59,1,1,50,14593
159,60,1,1,51,14593
160,61,1,1,52,14593
161,62,0,0,52,14593
162,63,1,1,53,14593
163,64,1,1,54,14593
164,65,1,1,55,14593
165,66,1,1,56,14593
166,67,0,0,56,14593
167,68,1,1,57,14593
168,69,1,1,58,14593
169,70,1,1,59,14593
170,71,1,1,60,14593
171,72,1,1,61,14593
172,73,1,1,62,14593
173,74,1,1,63,14593
174,75,1,1,64,14593
175,76,1,1,65,14593
176,77,1,1,66,14593
177,78,1,1,67,14593
178,79,1,1,68,14593
